ts,run_id,event,strategy,asset,slug,left_s,bn_px,up_ask,up_bid,up_spread,up_bid_sz,up_ask_sz,up_n_bids,up_n_asks,up_age_ms,dn_ask,dn_bid,dn_spread,dn_bid_sz,dn_ask_sz,dn_n_bids,dn_n_asks,dn_age_ms,fill_up,fill_dn,cost_up,cost_dn,dump_side,dump_px,dump_bid,dump_bid_src,dump_rec,cl_open,cl_close,cl_delta_pct,settle_dir,settle_src,clob_up_bid,clob_dn_bid,entry_fees,dump_fee,pnl,cum_pnl,cap,w,l,flags,
2026-03-08T20:07:23.083639570+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773000300,157,67230.24,0.49,0.47,0.02,42.2,52.8,47,51,0,0.53,0.51,0.02,52.8,42.2,51,47,0,0.491,0.531,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:07:24.111537234+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773000300,156,1960.08,0.52,0.51,0.01,5.5,8,51,48,0,0.49,0.48,0.01,8,5.5,48,51,0,0.521,0.491,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:07:24.111800561+00:00,R0308_200647,ENTRY,S3,sol,sol-updown-5m-1773000300,156,82.26,0.53,0.52,0.01,22.4,14,50,47,0,0.48,0.47,0.01,14,22.4,47,50,0,0.531,0.481,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:07:35.615149754+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773000300,145,1.35,0.5,0.49,0.01,15,10,49,48,0,0.51,0.5,0.01,10,15,48,49,0,0.501,0.511,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:10:10.233914239+00:00,R0308_200647,ENTRY,S3,sol,sol-updown-5m-1773000600,290,82.25,0.5,0.49,0.01,14.9,27,49,50,0,0.51,0.5,0.01,27,14.9,50,49,0,0.501,0.511,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:10:10.234069804+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773000600,290,1.35,0.49,0.48,0.01,36,26,48,51,0,0.52,0.51,0.01,26,36,51,48,0,0.491,0.521,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:10:14.362789895+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773000600,286,67191.67,0.5,0.49,0.01,216.4,81.3,49,50,0,0.51,0.5,0.01,81.3,216.4,50,49,0,0.501,0.511,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:12:30.563577636+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773000600,150,1958.86,0.53,0.52,0.01,101.4,13,52,47,0,0.48,0.47,0.01,13,101.4,47,52,0,0.531,0.481,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:14:31.783445984+00:00,R0308_200647,DUMP,S3,sol,sol-updown-5m-1773000600,29,82.16,,,,,,,,,,,,,14.7,,3,96,,,,,UP,0.03,0.03,REAL,0.2994,82.27,82.15,-0.1409,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:14:32.816085967+00:00,R0308_200647,DUMP,S3,eth,eth-updown-5m-1773000600,28,1956.38,,,,,,,,,,,,,11.5,,2,97,,,,,UP,0.02,0.02,REAL,0.1883,1958.74,1956.26,-0.1266,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:14:33.847251961+00:00,R0308_200647,DUMP,S3,xrp,xrp-updown-5m-1773000600,27,1.35,,,,,,,,,,,,,40,,10,28,,,,,UP,0.099,0.1,REAL,1.0081,1.35,1.35,-0.0554,,,,,,,,,,,,,TAKER_FORCE
2026-03-08T20:14:33.847423861+00:00,R0308_200647,DUMP,S3,btc,btc-updown-5m-1773000600,27,67116.39,,,,,,,,,,,,,0,,0,95,,,,,UP,0.199,0.2,EST,1.986,67204.55,67107.69,-0.1441,,,,,,,,,,,,,TAKER_FORCE|EST_BID
